sub,trial,certain_reward,risky_gain,risky_loss,choice,choice_rt,outcome,happiness_raw,happiness_z,spinner_rt,spinner_rad,spinner_deg,happiness_fill_raw,happiness_fill_z,total_score
2,28,0,40,-14,1,4.017,-14,0,-1.706795840908603,4.382,0.081,4.64095814055967,0,-1.706795840908603,-101
2,29,45,108,0,0,1.437,45,NA,NA,NA,NA,NA,0,-1.706795840908603,-56
2,30,0,40,-31,1,2.117,40,85,0.9230104396454379,4.382,3.348,191.8262698098,85,0.9230104396454379,-16
3,1,0,40,-80,0,10.685,0,41,-0.7836310802303036,NA,NA,NA,41,-0.7836310802303036,0
3,2,0,75,-15,1,18.019,75,NA,NA,4.382,4.443,254.565148376625,41,-0.7836310802303036,75
3,3,-35,0,-140,1,12.518,-140,34,-1.737616743119369,4.383,2.181,124.962095118033,34,-1.737616743119369,-65
3,4,-35,0,-66,1,6.001,-66,NA,NA,4.383,2.181,124.962095118033,34,-1.737616743119369,-131
3,5,55,149,0,1,7.651,0,NA,NA,4.383,0.421,24.1215231750077,34,-1.737616743119369,-131
3,6,0,55,-19,0,3.568,0,39,-1.0561984124843222,NA,NA,NA,39,-1.0561984124843222,-131
3,7,-30,0,-55,1,3.967,-55,NA,NA,4.383,0.798,45.7220320514397,39,-1.0561984124843222,-186
3,8,30,72,0,0,3.968,30,NA,NA,NA,NA,NA,39,-1.0561984124843222,-156
3,9,55,97,0,0,2,55,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,-101
3,10,55,110,0,0,3.298,55,NA,NA,NA,NA,NA,50,0.4429219149127803,-46
3,11,-30,0,-56,0,5.384,-30,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,-76
3,12,30,72,0,1,4.617,72,NA,NA,4.383,5.951,340.967183882353,50,0.4429219149127803,-4
3,13,-45,0,-85,1,5.917,0,NA,NA,4.384,6.076,348.129156321488,50,0.4429219149127803,-4
3,14,-35,0,-70,1,4.134,-70,45,-0.23849641572226632,4.383,0.044,2.52101429857562,45,-0.23849641572226632,-74
3,15,-45,0,-102,0,2.999,-45,NA,NA,NA,NA,NA,45,-0.23849641572226632,-119
3,16,0,55,-35,0,2.834,0,NA,NA,NA,NA,NA,45,-0.23849641572226632,-119
3,17,-30,0,-56,1,3.785,0,56,1.2606239116748363,4.382,5.825,333.747915663705,56,1.2606239116748363,-119
3,18,55,132,0,1,3.701,0,NA,NA,4.383,0.673,38.5600596123044,56,1.2606239116748363,-119
3,19,55,103,0,1,2.75,0,NA,NA,4.384,0.421,24.1215231750077,56,1.2606239116748363,-119
3,20,55,90,0,1,2.2,0,42,-0.6473474141032943,4.383,2.432,139.343335775816,42,-0.6473474141032943,-119
3,21,55,100,0,1,3.466,100,NA,NA,4.383,5.448,312.147406787273,42,-0.6473474141032943,-19
3,22,0,75,-15,1,3.667,75,60,1.8057585761828736,4.383,6.202,355.348424540137,60,1.8057585761828736,56
3,23,30,120,0,1,2.55,0,NA,NA,4.384,3.06,175.325085310032,60,1.8057585761828736,56
3,24,-35,0,-140,0,2.101,-35,NA,NA,NA,NA,NA,60,1.8057585761828736,21
3,25,0,75,-101,0,3.8,0,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,21
3,26,0,75,-83,0,2.817,0,NA,NA,NA,NA,NA,50,0.4429219149127803,21
3,27,55,94,0,1,3.068,94,NA,NA,4.382,5.448,312.147406787273,50,0.4429219149127803,115
3,28,-35,0,-60,1,5.168,-60,44,-0.37478008184927564,4.383,1.175,67.3225409278717,44,-0.37478008184927564,55
3,29,0,75,-58,0,2.283,0,NA,NA,NA,NA,NA,44,-0.37478008184927564,55
3,30,-45,0,-108,0,3.003,-45,50,0.4429219149127803,NA,NA,NA,50,0.4429219149127803,10
4,1,30,120,0,1,3.966,120,68,0.7543880465254091,4.384,4.945,283.327629692192,68,0.7543880465254091,120
4,2,0,75,-150,1,2.767,75,NA,NA,4.383,4.568,261.72712081576,68,0.7543880465254091,195
4,3,0,40,-8,1,1.851,-8,70,0.8875153488534224,4.383,2.218,127.082038960017,70,0.8875153488534224,187
4,4,-35,0,-95,0,6.367,-35,NA,NA,NA,NA,NA,70,0.8875153488534224,152
4,5,0,55,-42,1,5.651,55,NA,NA,4.383,4.982,285.447573534176,70,0.8875153488534224,207
4,6,35,95,0,1,3.133,0,75,1.2203336046734559,4.384,1.427,81.7610773651685,75,1.2203336046734559,207
4,7,55,110,0,1,3.4,0,NA,NA,4.383,2.432,139.343335775816,75,1.2203336046734559,207
4,8,35,74,0,1,3.299,74,NA,NA,4.384,5.197,297.766166129489,75,1.2203336046734559,281
4,9,30,55,0,1,2.334,55,77,1.3534609070014691,4.383,3.223,184.664297370664,77,1.3534609070014691,336
4,10,-35,0,-62,1,5.151,0,NA,NA,4.383,4.102,235.027287562664,77,1.3534609070014691,336
4,11,55,94,0,1,3.35,0,69,0.8209516976894158,4.384,0.584,33.4607352356401,69,0.8209516976894158,336
4,12,30,62,0,1,3.001,0,NA,NA,4.383,2.469,141.4632796178,69,0.8209516976894158,336
4,13,35,72,0,1,7.234,72,NA,NA,4.383,3.977,227.865315123528,69,0.8209516976894158,408
4,14,-35,0,-62,1,12.734,-62,59,0.15531518604934905,4.383,0.458,26.2414670169917,59,0.15531518604934905,346
4,15,-55,0,-149,1,5.349,-149,NA,NA,4.383,2.218,127.082038960017,59,0.15531518604934905,197
4,16,-30,0,-62,0,4.035,-30,NA,NA,NA,NA,NA,59,0.15531518604934905,167
4,17,-35,0,-95,0,4.335,-35,46,-0.7100122790827377,NA,NA,NA,46,-0.7100122790827377,132
4,18,-45,0,-74,0,2.217,-45,NA,NA,NA,NA,NA,46,-0.7100122790827377,87
4,19,0,55,-49,1,1.233,55,NA,NA,4.383,5.61,321.429323068392,46,-0.7100122790827377,142
4,20,0,55,-49,1,2.067,-49,39,-1.1759578372307844,4.384,1.338,76.6617529885041,39,-1.1759578372307844,93
4,21,55,149,0,1,3.284,149,NA,NA,4.383,3.223,184.664297370664,39,-1.1759578372307844,242
4,22,0,55,-110,0,4.317,0,56,-0.04437576744267096,NA,NA,NA,56,-0.04437576744267096,242
4,23,0,40,-14,1,14.05,-14,NA,NA,4.382,1.087,62.2805123307205,56,-0.04437576744267096,228
4,24,35,60,0,1,8.917,60,NA,NA,4.383,4.605,263.847064657744,56,-0.04437576744267096,288
4,25,-30,0,-56,1,5.119,-56,43,-0.9097032325747577,4.382,2.218,127.082038960017,43,-0.9097032325747577,232
4,26,0,40,-44,1,3.285,-44,NA,NA,4.382,1.212,69.4424847698558,43,-0.9097032325747577,188
4,27,-45,0,-90,1,2.55,0,NA,NA,4.383,4.856,278.228305315528,43,-0.9097032325747577,188
4,28,-35,0,-64,1,9.617,-64,43,-0.9097032325747577,4.383,1.087,62.2805123307205,43,-0.9097032325747577,124
4,29,30,81,0,1,2.434,0,NA,NA,4.383,1.338,76.6617529885041,43,-0.9097032325747577,124
4,30,-30,0,-96,1,2.551,-96,35,-1.442212441886811,4.382,2.343,134.244011399152,35,-1.442212441886811,28
5,1,30,51,0,1,7.866,51,73,1.5731768924263927,4.383,4.102,235.027287562664,73,1.5731768924263927,51
5,2,55,132,0,0,10.966,55,NA,NA,NA,NA,NA,73,1.5731768924263927,106
5,3,-45,0,-93,1,2.65,-93,65,0.8959348221441789,4.383,2.092,119.862770741368,65,0.8959348221441789,13
5,4,0,55,-28,1,1.285,55,NA,NA,4.383,3.977,227.865315123528,65,0.8959348221441789,68
5,5,45,77,0,1,1.218,77,NA,NA,4.383,5.359,307.048082410608,65,0.8959348221441789,145
5,6,-30,0,-49,1,1.785,0,73,1.5731768924263927,4.382,4.605,263.847064657744,73,1.5731768924263927,145
5,7,-30,0,-55,1,1.083,0,NA,NA,4.383,3.474,199.045538028448,73,1.5731768924263927,145
5,8,-55,0,-113,1,5.917,-113,NA,NA,4.382,0.333,19.0794945778564,73,1.5731768924263927,32
5,9,45,77,0,1,1.234,77,58,0.3033480106472418,4.383,4.856,278.228305315528,58,0.3033480106472418,109
5,10,0,40,-36,1,1.217,-36,NA,NA,4.382,0.207,11.860226359208,58,0.3033480106472418,73
5,11,0,75,-101,1,0.917,-101,48,-0.5432045772055254,4.383,1.966,112.64350252272,48,-0.5432045772055254,-28
5,12,-30,0,-65,1,0.967,0,NA,NA,4.383,4.856,278.228305315528,48,-0.5432045772055254,-28
5,13,-30,0,-65,1,0.917,0,NA,NA,4.383,3.977,227.865315123528,48,-0.5432045772055254,-28
5,14,45,108,0,1,0.934,108,57,0.21869275186196507,4.382,5.233,299.82881419196,57,0.21869275186196507,80
5,15,-35,0,-84,1,1.001,-84,NA,NA,4.382,2.595,148.682547836449,57,0.21869275186196507,-4
5,16,35,64,0,1,0.833,64,NA,NA,4.383,5.108,292.666841752824,57,0.21869275186196507,60
5,17,0,55,-49,1,0.9,-49,50,-0.373894059634972,4.383,1.966,112.64350252272,50,-0.373894059634972,11
5,18,0,55,-61,1,1.067,55,NA,NA,4.382,6.113,350.249100163472,50,-0.373894059634972,66
5,19,0,75,-67,1,2.118,-67,NA,NA,4.383,1.212,69.4424847698558,50,-0.373894059634972,-1
5,20,35,70,0,1,0.852,70,54,-0.0352730244938651,4.381,3.977,227.865315123528,54,-0.0352730244938651,69
5,21,30,55,0,1,1.083,0,NA,NA,4.382,2.72,155.844520275584,54,-0.0352730244938651,69
5,22,35,72,0,1,0.933,0,50,-0.373894059634972,4.384,3.097,177.445029152016,50,-0.373894059634972,69
5,23,30,60,0,1,0.949,60,NA,NA,4.384,4.354,249.46582399996,50,-0.373894059634972,129
5,24,-30,0,-96,1,0.867,0,NA,NA,4.383,5.108,292.666841752824,50,-0.373894059634972,129
5,25,0,55,-19,1,2.201,-19,50,-0.373894059634972,4.382,2.595,148.682547836449,50,-0.373894059634972,110
5,26,-45,0,-95,1,1.05,-95,NA,NA,4.383,1.087,62.2805123307205,50,-0.373894059634972,15
5,27,-45,0,-85,1,0.834,-85,NA,NA,4.382,1.715,98.2622618649362,50,-0.373894059634972,-70
5,28,0,40,-80,1,2.935,40,33,-1.8130334589846764,4.383,5.862,335.867859505689,33,-1.8130334589846764,-30
5,29,-45,0,-85,0,2.649,-45,NA,NA,NA,NA,NA,33,-1.8130334589846764,-75
5,30,45,79,0,1,2.201,79,42,-1.0511361299171857,4.383,4.982,285.447573534176,42,-1.0511361299171857,4
6,1,55,149,0,0,8.401,55,54,0.998009989103591,NA,NA,NA,54,0.998009989103591,55
6,2,-55,0,-117,0,8.701,-55,NA,NA,NA,NA,NA,54,0.998009989103591,0
6,3,30,55,0,1,3.401,0,52,0.7431989280558657,4.383,2.181,124.962095118033,52,0.7431989280558657,0
6,4,35,72,0,1,5.317,72,NA,NA,4.383,4.228,242.246555781312,52,0.7431989280558657,72
6,5,0,55,-110,0,5.867,0,NA,NA,NA,NA,NA,52,0.7431989280558657,72
6,6,30,72,0,1,3.934,0,50,0.4883878670081404,4.383,3.06,175.325085310032,50,0.4883878670081404,72
6,7,-30,0,-58,0,6.166,-30,NA,NA,NA,NA,NA,50,0.4883878670081404,42
6,8,0,40,-54,1,4.567,-54,NA,NA,4.384,2.935,168.163112870897,50,0.4883878670081404,-12
6,9,0,75,-58,1,4.151,-58,42,-0.5308563771827607,4.382,2.846,163.063788494232,42,-0.5308563771827607,-70
6,10,55,94,0,0,3.818,55,NA,NA,NA,NA,NA,42,-0.5308563771827607,-15
6,11,-45,0,-108,1,5.85,-108,38,-1.0404784992782112,4.383,1.212,69.4424847698558,38,-1.0404784992782112,-123
6,12,-55,0,-132,1,3.217,-132,NA,NA,4.383,2.092,119.862770741368,38,-1.0404784992782112,-255
6,13,35,72,0,0,2.883,35,NA,NA,NA,NA,NA,38,-1.0404784992782112,-220
6,14,-45,0,-85,1,6.134,-85,31,-1.9323172129452497,4.383,1.05,60.1605684887364,31,-1.9323172129452497,-305
6,15,0,40,-14,1,4.101,-14,NA,NA,4.383,2.935,168.163112870897,31,-1.9323172129452497,-319
